text,intent
"what is my balance?","check_balance_guide"
"how much money do I have?","check_balance_guide"
"show me my balance","check_balance_guide"
"can you check my balance","check_balance_guide"
"what's in my checking account","check_balance_guide"
"tell me the balance","check_balance_guide"
"I need to see my last transaction","check_transactions_guide"
"show me my mini statement","check_transactions_guide"
"what was my last purchase?","check_transactions_guide"
"show me my transaction history","check_transactions_guide"
"where can i find my account number?","find_account_details"
"what's my customer ID?","find_account_details"
"I forgot my account number","find_account_details"
"find my acc no","find_account_details"
"can i update my pin?","manage_credentials"
"I need to change my password","manage_credentials"
"how to reset my login password?","manage_credentials"
"forgot my ATM pin","manage_credentials"
"update my pin and password","manage_credentials"
"block my credit card","block_card_guide"
"I lost my debit card","block_card_guide"
"my card was stolen","block_card_guide"
"freeze my card immediately","block_card_guide"
"I need to report a lost card","block_card_guide"
"I need to update my KYC","update_kyc"
"how to do KYC update?","update_kyc"
"my account is frozen for KYC","update_kyc"
"what documents are needed for KYC?","update_kyc"
"mini KYC or KYC","update_kyc"
"I need to transfer money","transfer_funds_guide"
"how to send money?","transfer_funds_guide"
"make a payment","transfer_funds_guide"
"how do I send money using a phone number?","transfer_funds_guide"
"how to transfer using account number?","transfer_funds_guide"
"what is my transaction limit?","get_transaction_limits"
"how much can I send in one day?","get_transaction_limits"
"what is the UPI limit?","get_transaction_limits"
"daily transfer limit","get_transaction_limits"
"how to set my transaction limit?","set_transaction_limits"
"I want to change my UPI limit","set_transaction_limits"
"how to increase my transfer limit","set_transaction_limits"
"can I change my daily limit?","set_transaction_limits"
"how can i open a new account?","open_account"
"I want to open an account","open_account"
"what type of account?","open_account"
"I need to open a demat account","open_account"
"what is the process for a new savings account?","open_account"
"what is the current interest rate for a home loan?","get_interest_rates"
"car loan interest rate?","get_interest_rates"
"interest rate for savings account?","get_interest_rates"
"what are the rates for fixed deposits?","get_interest_rates"
"what is the IFSC code of the bank?","find_ifsc_code"
"I need the ifsc for my branch","find_ifsc_code"
"find ifsc code for Coimbatore branch","find_ifsc_code"
"which branch?","find_ifsc_code"
"what are your working hours?","get_bank_hours"
"when is the bank open?","get_bank_hours"
"is the bank open on saturday?","get_bank_hours"
"working time and days of the bank?","get_bank_hours"
"what time do you close?","get_bank_hours"
"what's the status of my loan application?","check_loan_status_guide"
"did my loan get approved?","check_loan_status_guide"
"check my loan application","check_loan_status_guide"
"update on my home loan application","check_loan_status_guide"
"I need to pay my bill","pay_bill_guide"
"how to pay my electricity bill?","pay_bill_guide"
"can I pay my credit card bill?","pay_bill_guide"
"bill payment","pay_bill_guide"
"where is your headquarters?","general_faq"
"who is the CEO of the bank?","general_faq"
"tell me about your bank","general_faq"
"what is this bank's history?","general_faq"
"general questions about the bank","general_faq"
"hello","greet"
"hi","greet"
"good morning","greet"
"hey there","greet"
"hey","greet"
